Name,Def,Defn,BBPerc,BBn,Kperc,Knr,ISO,ISOn,Spd,Spdn
Shin-Soo Choo,-9.3,0.253968254,9.00%,0.425149701,24.20%,0.398601399,0.179,0.422442244,3.8,0.405063291
Cameron Maybin,-6.5,0.328042328,8.40%,0.389221557,17.60%,0.629370629,0.113,0.204620462,5,0.556962025
Billy Burns,-7.9,0.291005291,4.20%,0.137724551,13.40%,0.776223776,0.088,0.122112211,7.7,0.898734177
Danny Espinosa,4.9,0.62962963,8.10%,0.371257485,23.20%,0.433566434,0.162,0.366336634,4.3,0.46835443
Pedro Alvarez,-13.5,0.142857143,8.80%,0.413173653,24.90%,0.374125874,0.203,0.501650165,3,0.303797468
Brett Lawrie,-6.5,0.328042328,4.20%,0.137724551,23.20%,0.433566434,0.132,0.267326733,3.6,0.379746835
Christian Yelich,-1.2,0.468253968,9.80%,0.473053892,20.70%,0.520979021,0.092,0.135313531,4.7,0.518987342
Ender Inciarte,1.9,0.55026455,2.80%,0.053892216,11.00%,0.86013986,0.099,0.158415842,5.5,0.620253165
Chase Headley,2.7,0.571428571,6.50%,0.275449102,20.60%,0.524475524,0.122,0.234323432,2.6,0.253164557
Ryan Howard,-9,0.261904762,4.90%,0.179640719,27.50%,0.283216783,0.222,0.564356436,1.6,0.126582278
Ben Revere,0.3,0.507936508,4.90%,0.179640719,9.30%,0.91958042,0.077,0.085808581,7.5,0.873417722
Robinson Cano,-0.6,0.484126984,5.70%,0.22754491,16.60%,0.664335664,0.151,0.330033003,2.8,0.278481013
Matt Kemp,-14.4,0.119047619,5.70%,0.22754491,23.50%,0.423076923,0.152,0.333333333,5.3,0.594936709
Melky Cabrera,-7.5,0.301587302,5.60%,0.221556886,14.30%,0.744755245,0.112,0.201320132,3.3,0.341772152
Brad Miller,5.2,0.637566138,10.30%,0.502994012,20.80%,0.517482517,0.147,0.316831683,5.6,0.632911392
David Freese,1,0.526455026,7.10%,0.311377246,22.40%,0.461538462,0.158,0.353135314,2.2,0.202531646
Joe Mauer,-7.1,0.312169312,8.70%,0.407185629,15.70%,0.695804196,0.113,0.204620462,2.8,0.278481013
Jose Reyes,-0.1,0.497354497,5.60%,0.221556886,12.50%,0.807692308,0.098,0.155115512,5.2,0.582278481
Steven Souza,-3.9,0.396825397,10.30%,0.502994012,35.60%,0,0.193,0.468646865,5.3,0.594936709
Mark Trumbo,-8,0.288359788,5.20%,0.19760479,24.60%,0.384615385,0.177,0.415841584,2.8,0.278481013
Evan Gattis,-11.5,0.195767196,3.40%,0.089820359,21.10%,0.506993007,0.205,0.508250825,4.2,0.455696203
Mike Napoli,-3.5,0.407407407,11.90%,0.598802395,25.50%,0.353146853,0.175,0.409240924,3.3,0.341772152
Yangervis Solarte,-4.6,0.378306878,6.40%,0.269461078,10.60%,0.874125874,0.131,0.264026403,3.2,0.329113924
Luis Valbuena,-2.6,0.431216931,9.20%,0.437125749,22.10%,0.472027972,0.214,0.537953795,2.7,0.265822785
Josh Harrison,-3.4,0.41005291,3.40%,0.089820359,14.70%,0.730769231,0.105,0.178217822,4.4,0.481012658
Daniel Murphy,-1.6,0.457671958,6.90%,0.299401198,7.20%,0.993006993,0.122,0.234323432,1.2,0.075949367
Kevin Pillar,5.7,0.650793651,4.50%,0.155688623,14.70%,0.730769231,0.119,0.224422442,6.2,0.708860759
Aramis Ramirez,5.1,0.634920635,4.90%,0.179640719,13.30%,0.77972028,0.176,0.412541254,1.7,0.139240506
Brandon Phillips,2.3,0.560846561,4.50%,0.155688623,11.80%,0.832167832,0.096,0.148514851,5.7,0.64556962
Martin Prado,6,0.658730159,4.60%,0.161676647,12.40%,0.811188811,0.092,0.135313531,1.5,0.113924051
Chris Carter,-8.2,0.283068783,12.50%,0.634730539,33.70%,0.066433566,0.203,0.501650165,1.7,0.139240506
Derek Norris,7.5,0.698412698,5.10%,0.191616766,23.70%,0.416083916,0.169,0.389438944,4.4,0.481012658
Pablo Sandoval,-12.1,0.17989418,5.00%,0.185628743,13.50%,0.772727273,0.118,0.221122112,1.5,0.113924051
Avisail Garcia,-8.6,0.272486772,5.20%,0.19760479,25.00%,0.370629371,0.097,0.151815182,3.5,0.367088608
Brandon Moss,-6.1,0.338624339,8.50%,0.395209581,28.40%,0.251748252,0.189,0.455445545,1.7,0.139240506
Nick Castellanos,-10.2,0.23015873,7.10%,0.311377246,24.50%,0.388111888,0.15,0.326732673,2.8,0.278481013
Billy Butler,-9.6,0.246031746,7.40%,0.329341317,16.40%,0.671328671,0.131,0.264026403,1.9,0.164556962
Johnny Giavotella,-6.5,0.328042328,7.30%,0.323353293,12.20%,0.818181818,0.09,0.128712871,3.4,0.35443038
Freddy Galvis,6.3,0.666666667,5.10%,0.191616766,17.90%,0.618881119,0.084,0.108910891,5.2,0.582278481
Yadier Molina,7.9,0.708994709,5.60%,0.221556886,12.00%,0.825174825,0.074,0.075907591,1.9,0.164556962
Addison Russell,7.6,0.701058201,8.30%,0.383233533,28.90%,0.234265734,0.125,0.244224422,2.1,0.189873418
Gregory Polanco,-2.7,0.428571429,9.40%,0.449101796,18.60%,0.594405594,0.116,0.214521452,6.4,0.734177215
Erick Aybar,2.9,0.576719577,5.00%,0.185628743,12.30%,0.814685315,0.065,0.04620462,3.8,0.405063291
Austin Jackson,7.5,0.698412698,6.00%,0.245508982,21.80%,0.482517483,0.113,0.204620462,5,0.556962025
Salvador Perez,9.3,0.746031746,2.00%,0.005988024,14.70%,0.730769231,0.175,0.409240924,1.8,0.151898734
Kevin Kiermaier,18.9,1,4.10%,0.131736527,19.20%,0.573426573,0.16,0.359735974,8,0.936708861
Didi Gregorius,6,0.658730159,5.20%,0.19760479,15.10%,0.716783217,0.095,0.145214521,3.6,0.379746835
Alcides Escobar,11.8,0.812169312,4.40%,0.149700599,10.90%,0.863636364,0.071,0.066006601,5,0.556962025
Jace Peterson,2,0.552910053,9.80%,0.473053892,19.60%,0.559440559,0.092,0.135313531,4.5,0.493670886
Adrian Beltre,6.9,0.682539683,5.60%,0.221556886,10.20%,0.888111888,0.125,0.244224422,3.8,0.405063291
Andrelton Simmons,14.7,0.888888889,7.00%,0.305389222,7.00%,1,0.077,0.085808581,3.4,0.35443038
Adeiny Hechavarria,16.6,0.939153439,4.40%,0.149700599,16.90%,0.653846154,0.091,0.132013201,4.7,0.518987342
Adam LaRoche,-8.5,0.275132275,11.00%,0.54491018,29.60%,0.20979021,0.132,0.267326733,0.9,0.037974684
Marcus Semien,-5.1,0.365079365,6.00%,0.245508982,22.10%,0.472027972,0.126,0.247524752,5.1,0.569620253
Logan Morrison,-9.3,0.253968254,9.10%,0.431137725,15.70%,0.695804196,0.142,0.300330033,4.4,0.481012658
Wilmer Flores,4.7,0.624338624,3.60%,0.101796407,13.00%,0.79020979,0.129,0.257425743,1.2,0.075949367
Asdrubal Cabrera,7.5,0.698412698,6.00%,0.245508982,22.00%,0.475524476,0.143,0.303630363,4.8,0.53164557
Marcell Ozuna,0.5,0.513227513,6.50%,0.275449102,23.00%,0.440559441,0.088,0.122112211,1.8,0.151898734
Elvis Andrus,-2,0.447089947,6.90%,0.299401198,13.80%,0.762237762,0.077,0.085808581,4.2,0.455696203
Jean Segura,3.3,0.587301587,2.60%,0.041916168,14.50%,0.737762238,0.072,0.069306931,6.2,0.708860759
Jimmy Rollins,1.2,0.531746032,7.30%,0.323353293,14.10%,0.751748252,0.148,0.320132013,4.8,0.53164557
Ian Desmond,-5.7,0.349206349,5.30%,0.203592814,29.10%,0.227272727,0.147,0.316831683,5.2,0.582278481
Nick Ahmed,11.3,0.798941799,7.60%,0.341317365,18.10%,0.611888112,0.112,0.201320132,4.2,0.455696203
Wilson Ramos,5.6,0.648148148,3.80%,0.113772455,20.00%,0.545454545,0.13,0.260726073,1.2,0.075949367
Angel Pagan,-10.4,0.224867725,5.10%,0.191616766,15.20%,0.713286713,0.051,0,4.5,0.493670886
Juan Lagares,5.9,0.656084656,3.00%,0.065868263,17.90%,0.618881119,0.08,0.095709571,5.5,0.620253165
Alexei Ramirez,4.4,0.616402116,3.60%,0.101796407,11.60%,0.839160839,0.096,0.148514851,4.3,0.46835443
Chris Owings,-1.5,0.46031746,4.00%,0.125748503,25.70%,0.346153846,0.096,0.148514851,7.4,0.860759494
Starlin Castro,2,0.552910053,3.90%,0.119760479,17.10%,0.646853147,0.067,0.052805281,3.1,0.316455696
Billy Hamilton,16.3,0.931216931,5.40%,0.209580838,15.40%,0.706293706,0.062,0.03630363,8.5,1
Mike Zunino,5.6,0.648148148,5.60%,0.221556886,34.80%,0.027972028,0.14,0.293729373,1.3,0.088607595
Omar Infante,5.1,0.634920635,1.90%,0,15.90%,0.688811189,0.089,0.125412541,4.2,0.455696203
